"Domain","Path","FirstName","LastName","Office","Title","Description","Department","Company","Phone","StreetAddress","City","State","PostalCode","Password","sAMAccountName","userPrincipalName","DisplayName"
CodyKerberos.sso , "OU=massUsers,DC=CodyKerberos,DC=sso" , user0 , ln0 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , "Alfr3sc0!" , user0ln0 ,  "user0ln0@CodyKerberos.sso" ,user0ln0
CodyKerberos.sso , "OU=massUsers,DC=CodyKerberos,DC=sso" , user1 , ln1 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , "Alfr3sc0!" , user1ln1 ,  "user1ln1@CodyKerberos.sso" ,user1ln1
CodyKerberos.sso , "OU=massUsers,DC=CodyKerberos,DC=sso" , user2 , ln2 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , "Alfr3sc0!" , user2ln2 ,  "user2ln2@CodyKerberos.sso" ,user2ln2
CodyKerberos.sso , "OU=massUsers,DC=CodyKerberos,DC=sso" , user3 , ln3 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , "Alfr3sc0!" , user3ln3 ,  "user3ln3@CodyKerberos.sso" ,user3ln3
CodyKerberos.sso , "OU=massUsers,DC=CodyKerberos,DC=sso" , user4 , ln4 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , "Alfr3sc0!" , user4ln4 ,  "user4ln4@CodyKerberos.sso" ,user4ln4
CodyKerberos.sso , "OU=massUsers,DC=CodyKerberos,DC=sso" , user5 , ln5 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , "Alfr3sc0!" , user5ln5 ,  "user5ln5@CodyKerberos.sso" ,user5ln5
CodyKerberos.sso , "OU=massUsers,DC=CodyKerberos,DC=sso" , user6 , ln6 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , "Alfr3sc0!" , user6ln6 ,  "user6ln6@CodyKerberos.sso" ,user6ln6
CodyKerberos.sso , "OU=massUsers,DC=CodyKerberos,DC=sso" , user7 , ln7 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , "Alfr3sc0!" , user7ln7 ,  "user7ln7@CodyKerberos.sso" ,user7ln7
CodyKerberos.sso , "OU=massUsers,DC=CodyKerberos,DC=sso" , user8 , ln8 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , "Alfr3sc0!" , user8ln8 ,  "user8ln8@CodyKerberos.sso" ,user8ln8
CodyKerberos.sso , "OU=massUsers,DC=CodyKerberos,DC=sso" , user9 , ln9 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , "Alfr3sc0!" , user9ln9 ,  "user9ln9@CodyKerberos.sso" ,user9ln9
